ContestId,AvgSlope,InstantaneousSlope,Success
55826033,14.0,10,False
56610037,0.22727272727272727,1,False
56751298,0.02064896755162242,2,False
56776765,5.75,7,True
56776766,0.0011918951132300357,1,False
56776768,0.0012813941568426447,1,True
56776769,5.0,4,True
56776771,0.02336448598130841,1,True
56776772,0.002815315315315315,1,True
56777159,4.5,4,True
56779285,0.018018018018018018,1,True
56779306,2.1818181818181817,2,True
56780041,0.01644736842105263,1,True
56780042,5.6,15,True
56780043,0.1276595744680851,1,True
56780046,0.029166666666666667,3,True
56780067,0.045454545454545456,4,True
56780069,0.02824858757062147,1,True
56780070,0.003987240829346092,1,True
56780072,0.10416666666666667,1,True
56780718,0.0036075036075036075,1,False
56780719,0.020930232558139535,1,True
56780720,0.02631578947368421,1,True
56780721,0.021052631578947368,1,True
56780722,0.004574565416285453,1,True
56780723,0.003282994090610637,1,True
56780724,0.008237232289950576,1,True
56780725,0.006711409395973154,1,True
56780726,0.02072538860103627,1,True
56780727,0.043689320388349516,1,True
56780817,0.012077294685990338,1,True
56780819,0.003604902667627974,1,True
56780820,0.0022665457842248413,1,True
56780821,0.0022665457842248413,1,True
56780822,0.003604902667627974,1,True
56780824,0.004246284501061571,1,False
56780825,0.004149377593360996,1,False
56780827,0.011627906976744186,1,False
56780829,0.0018188432157148053,1,True
56781040,0.011583011583011582,1,False
56804508,0.13636363636363635,1,True
56804509,0.0045871559633027525,1,True
56804512,0.75,1,True
56804513,9.5,7,True
56804550,0.045454545454545456,1,True
56804551,0.006944444444444444,1,True
56804552,0.08771929824561403,1,True
56804635,0.6666666666666666,1,True
56804636,0.01644736842105263,1,True
56804637,0.23333333333333334,2,True
56804638,0.2777777777777778,1,False
56804639,0.42857142857142855,1,True
56804739,0.004694835680751174,1,True
56804742,0.1056338028169014,11,True
56804743,0.002221235006663705,1,True
56804744,0.11904761904761904,1,True
56804746,0.11627906976744186,1,True
56804928,0.046875,1,True
56804929,0.0030156815440289505,1,True
56805970,0.0069124423963133645,1,True
56805972,0.11627906976744186,1,True
56806020,0.004492362982929021,1,True
56806021,0.0625,1,True
56806034,0.0028137310073157004,1,True
56806334,0.010245901639344262,1,True
56806337,0.0057405281285878304,1,True
56806338,0.05263157894736842,1,True
56806340,0.002793296089385475,1,True
56806341,0.002071251035625518,1,True
56806343,0.05673758865248227,1,True
56806344,0.003429355281207133,1,True
56806346,0.0036496350364963502,1,True
56806347,0.04950495049504951,1,True
56806349,0.0057405281285878304,1,True
56806350,0.0057405281285878304,1,True
56806352,0.07462686567164178,1,True
56806966,0.004730368968779565,1,True
56806967,0.16129032258064516,1,True
56806968,0.0019275250578257518,1,True
56806971,0.07462686567164178,1,False
56806972,0.14705882352941177,1,True
56806974,0.0019275250578257518,1,True
56807032,0.01366120218579235,1,True
56807033,0.004730368968779565,1,True
